Date ,Day of the Week,Clipper Tags,Fare App Activations,Onboard Count,Bicycles,Wheelchairs,Notes About Day
12/28/2017,Thursday,1999,700,3045,163,35,N/A
12/29/2017,Friday,1741,693,2823,131,7,N/A
12/30/2017,Saturday,857,601,1834,43,4,N/A
12/31/2017,Sunday,642,405,1277,47,1,N/A
1/1/2018,Monday,483,272,884,45,3,Holiday
1/2/2018,Tuesday,1686,490,2347,180,11,N/A
1/3/2018,Wednesday,1674,386,2281,166,9,N/A
1/4/2018,Thursday,1712,376,2291,127,7,N/A
1/5/2018,Friday,1432,439,2054,121,3,N/A
1/6/2018,Saturday,695,437,1323,52,3,N/A
1/7/2018,Sunday,585,417,1126,36,4,N/A
1/8/2018,Monday,1441,126,1716,106,11,N/A
1/9/2018,Tuesday,1631,142,1871,138,8,N/A
1/10/2018,Wednesday,1778,128,2067,217,4,N/A
1/11/2018,Thursday,1786,246,2239,230,38,N/A
1/12/2018,Friday,1819,249,2226,212,4,N/A
1/13/2018,Saturday,712,377,1283,39,8,N/A
1/14/2018,Sunday,733,389,1240,106,1,N/A
1/15/2018,Monday,1082,425,1726,125,4,Holiday
1/16/2018,Tuesday,1753,185,2020,211,9,N/A
1/17/2018,Wednesday,1828,151,2123,267,4,N/A
1/18/2018,Thursday,1787,176,2051,154,6,N/A
1/19/2018,Friday,1719,235,2046,192,8,N/A
1/20/2018,Saturday,750,387,1319,63,1,N/A
1/21/2018,Sunday,524,288,926,13,13,N/A
1/22/2018,Monday,1726,182,2064,193,13,N/A
1/23/2018,Tuesday,1968,156,2238,237,7,N/A
1/24/2018,Wednesday,1678,129,1973,160,5,N/A
1/25/2018,Thursday,1690,172,2007,158,3,N/A
1/26/2018,Friday,1761,210,2129,218,9,N/A
1/27/2018,Saturday,733,432,1341,44,2,N/A
1/28/2018,Sunday,745,462,1339,33,6,N/A
1/29/2018,Monday,1781,114,2070,195,5,N/A
1/30/2018,Tuesday,2012,187,2347,255,8,N/A
1/31/2018,Wednesday,1735,154,1860,200,9,Train Trips Annulled
2/1/2018,Thursday,1952,231,2308,236,8,N/A
2/2/2018,Friday,1904,280,2340,233,15,N/A
2/3/2018,Saturday,742,448,1430,57,7,N/A
2/4/2018,Sunday,525,241,860,40,0,N/A
2/5/2018,Monday,1825,154,2092,257,7,N/A
2/6/2018,Tuesday,1999,190,2258,277,7,N/A
2/7/2018,Wednesday,2037,175,2342,293,12,N/A
2/8/2018,Thursday,2042,203,2339,253,13,N/A
2/9/2018,Friday,1911,222,2291,235,7,N/A
2/10/2018,Saturday,763,439,1397,65,9,N/A
2/11/2018,Sunday,615,427,1210,58,4,N/A
2/12/2018,Monday,1864,375,2326,194,3,N/A
2/13/2018,Tuesday,1931,176,2148,257,9,N/A
2/14/2018,Wednesday,2028,205,2338,249,11,N/A
2/15/2018,Thursday,1819,211,2179,213,7,N/A
2/16/2018,Friday,1874,295,2374,212,10,N/A
2/17/2018,Saturday,731,486,1431,70,5,N/A
2/18/2018,Sunday,800,579,1624,52,6,N/A
2/19/2018,Monday,752,453,1394,61,4,Holiday
2/20/2018,Tuesday,1837,236,2235,214,12,N/A
2/21/2018,Wednesday,1838,242,2255,209,7,N/A
2/22/2018,Thursday,1912,263,2359,207,8,N/A
2/23/2018,Friday,1787,363,2396,196,9,N/A
2/24/2018,Saturday,606,449,1213,38,4,N/A
2/25/2018,Sunday,586,453,1184,40,0,N/A
2/26/2018,Monday,1739,176,2103,172,11,N/A
2/27/2018,Tuesday,1921,168,2232,250,4,N/A
2/28/2018,Wednesday,1819,150,2139,222,9,N/A
3/1/2018,Thursday,1651,180,1961,132,8,Storm
3/2/2018,Friday,1563,176,1903,158,8,N/A
3/3/2018,Saturday,532,277,952,15,4,N/A
3/4/2018,Sunday,514,304,979,23,10,N/A
3/5/2018,Monday,1726,137,2009,218,5,N/A
3/6/2018,Tuesday,1957,164,2411,261,7,N/A
3/7/2018,Wednesday,1924,188,2299,241,20,N/A
3/8/2018,Thursday,1867,208,2313,218,5,N/A
3/9/2018,Friday,1894,191,2320,212,7,N/A
3/10/2018,Saturday,641,321,1102,32,5,N/A
3/11/2018,Sunday,600,388,1135,42,4,N/A
3/12/2018,Monday,1562,151,1871,185,16,N/A
3/13/2018,Tuesday,1700,132,2006,126,3,N/A
3/14/2018,Wednesday,1691,207,1993,187,21,Rain
3/15/2018,Thursday,1645,128,1962,137,3,Rain
3/16/2018,Friday,1694,230,2108,150,9,N/A
3/17/2018,Saturday,619,293,1046,40,4,N/A
3/18/2018,Sunday,459,350,995,26,1,N/A
3/19/2018,Monday,1677,201,2112,221,7,N/A
3/20/2018,Tuesday,1674,237,2095,144,6,N/A
3/21/2018,Wednesday,1628,170,2035,121,8,N/A
3/22/2018,Thursday,1626,249,2133,139,2,N/A
3/23/2018,Friday,1714,227,2169,190,6,N/A
3/24/2018,Saturday,563,373,1116,24,1,N/A
3/25/2018,Sunday,628,396,1236,43,8,N/A
3/26/2018,Monday,1894,181,2353,227,10,N/A
3/27/2018,Tuesday,1994,178,2378,244,5,N/A
3/28/2018,Wednesday,1966,174,2407,288,10,N/A
3/29/2018,Thursday,1985,229,2312,248,9,N/A
3/30/2018,Friday,1831,471,2530,241,12,N/A
3/31/2018,Saturday,634,291,1071,54,2,N/A
4/1/2018,Sunday,394,183,741,37,7,N/A
4/2/2018,Monday,1785,292,2068,208,6,Train Trips Annulled
4/3/2018,Tuesday,2021,292,2544,294,9,N/A
4/4/2018,Wednesday,1867,304,2417,257,9,N/A
4/5/2018,Thursday,1951,328,2551,198,8,N/A
4/6/2018,Friday,1511,194,1969,78,2,Storm
4/7/2018,Saturday,462,265,879,32,2,N/A
4/8/2018,Sunday,581,283,1036,50,8,N/A
4/9/2018,Monday,1847,228,2283,256,6,N/A
4/10/2018,Tuesday,1889,241,2288,245,13,N/A
4/11/2018,Wednesday,1787,175,2087,178,5,N/A
4/12/2018,Thursday,1860,261,2323,227,6,N/A
4/13/2018,Friday,1826,337,2454,220,9,N/A
4/14/2018,Saturday,711,398,1396,63,8,N/A
4/15/2018,Sunday,549,215,832,25,1,N/A
4/16/2018,Monday,1549,133,1826,134,3,N/A
4/17/2018,Tuesday,1997,169,2391,232,6,N/A
4/18/2018,Wednesday,1786,198,2085,201,20,N/A
4/19/2018,Thursday,1989,218,2286,228,14,N/A
4/20/2018,Friday,1833,286,2363,200,8,N/A
4/21/2018,Saturday,725,328,1146,79,5,N/A
4/22/2018,Sunday,524,261,874,21,2,N/A
4/23/2018,Monday,1734,179,2034,236,4,N/A
4/24/2018,Tuesday,1922,269,2285,243,8,N/A
4/25/2018,Wednesday,1885,200,2249,254,11,N/A
4/26/2018,Thursday,1982,258,2289,240,10,N/A
4/27/2018,Friday,1792,247,2224,201,8,N/A
4/28/2018,Saturday,863,560,1651,55,9,N/A
4/29/2018,Sunday,589,309,918,62,2,N/A
4/30/2018,Monday,1767,218,2142,250,5,N/A
5/1/2018,Tuesday,1942,239,2353,307,10,N/A
5/2/2018,Wednesday,2049,171,2411,267,7,N/A
5/3/2018,Thursday,1919,206,2366,286,7,N/A
5/4/2018,Friday,1775,323,2325,196,8,N/A
5/5/2018,Saturday,558,232,900,37,3,N/A
5/6/2018,Sunday,575,254,868,45,5,N/A
5/7/2018,Monday,1827,200,2161,267,4,N/A
5/8/2018,Tuesday,1892,149,2162,304,6,N/A
5/9/2018,Wednesday,2081,206,2371,333,9,N/A
5/10/2018,Thursday,1957,238,2422,364,8,N/A
5/11/2018,Friday,1928,220,2372,286,3,N/A
5/12/2018,Saturday,745,329,1235,95,10,N/A
5/13/2018,Sunday,780,480,1594,63,9,N/A
5/14/2018,Monday,1832,163,2130,280,15,N/A
5/15/2018,Tuesday,1880,184,2023,283,3,N/A
5/16/2018,Wednesday,2077,180,2396,325,7,N/A
5/17/2018,Thursday,2000,268,2571,288,6,N/A
5/18/2018,Friday,1835,247,2282,261,11,N/A
5/19/2018,Saturday,653,326,1157,63,5,N/A
5/20/2018,Sunday,479,246,716,32,2,N/A
5/21/2018,Monday,1903,166,2304,288,9,N/A
5/22/2018,Tuesday,1914,201,2241,250,9,N/A
5/23/2018,Wednesday,1908,157,2196,298,10,N/A
5/24/2018,Thursday,1946,261,2396,259,6,N/A
5/25/2018,Friday,1679,259,2137,203,7,N/A
5/26/2018,Saturday,760,341,1208,69,3,N/A
5/27/2018,Sunday,642,331,1104,94,5,N/A
5/28/2018,Monday,504,278,869,58,3,Holiday
5/29/2018,Tuesday,1978,214,2399,318,13,N/A
5/30/2018,Wednesday,2095,226,2523,342,5,N/A
5/31/2018,Thursday,1850,186,1236,246,106,Train Trips Annulled
6/1/2018,Friday,1843,319,2362,269,17,N/A
6/2/2018,Saturday,521,277,870,59,8,N/A
6/3/2018,Sunday,492,199,777,68,5,N/A
6/4/2018,Monday,1936,239,2408,292,7,N/A
